Sector,Subsector,Primary Property Type - Self Selected,Largest Property Use Type,Property GFA - Self-Reported (m²),Number of Buildings,Electricity Use - Grid Purchase (GJ),Natural Gas Use (GJ),Other_Fuels_GJ,District_Energy_GJ,Has_NaturalGas,Has_Electricity,Total (Location-Based) GHG Emissions (Metric Tons CO2e)
Municipal,Municipality,Fire Station,Fire Station,775.6,1,432.9,597.8,0.0,0.0,1,1,34.37
Municipal,Municipality,Fire Station,Fire Station,1431.5,1,812.5,1309.6,0.0,0.0,1,1,73.94
Municipal,Municipality,Fire Station,Fire Station,1006.5,1,548.5,84.1,0.0,0.0,1,1,9.71
Municipal,Municipality,Fire Station,Fire Station,663.5,1,367.9,638.6,0.0,0.0,1,1,35.77
Municipal,Municipality,Fire Station,Fire Station,1100.5,1,512.1,919.6,0.0,0.0,1,1,51.34
Municipal,Municipality,Fire Station,Fire Station,829.9,1,366.7,591.9,0.0,0.0,1,1,33.41
Municipal,Municipality,Fire Station,Fire Station,712.5,1,290.8,402.2,0.0,0.0,1,1,23.12
Municipal,Municipality,Fire Station,Fire Station,873.3,1,517.6,1078.3,0.0,0.0,1,1,59.36
Municipal,Municipality,Fire Station,Fire Station,1006.5,1,320.6,21.0,0.0,1065.1999999999998,1,1,70.26
Municipal,Municipality,Fire Station,Fire Station,513.8,1,223.4,485.5,0.0,0.0,1,1,26.63
Municipal,Municipality,Library,Library,3493.2,1,1846.8,1702.8,0.0,0.0,1,1,104.04
Municipal,Municipality,Library,Library,1267.2,1,820.8,199.3,0.0,0.0,1,1,18.22
Municipal,Municipality,Library,Library,397.9,1,120.2,110.9,0.0,0.0,1,1,6.77
Municipal,Municipality,Museum,Museum,289.5,1,25.2,165.3,0.0,0.0,1,1,8.56
Municipal,Municipality,Museum,Museum,2322.6,1,1126.9,1892.5,0.0,0.0,1,1,106.38
Municipal,Municipality,Office,Office,58.5,1,20.6,49.7,0.0,0.0,1,1,2.7
Municipal,Municipality,Office,Vehicle Repair Services,7862.1,1,3000.7,563.5,0.0,2824.5,1,1,271.33
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,313.0,1,15.8,156.4,0.0,0.0,1,1,8.02
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,184.4,1,16.1,254.3,0.0,0.0,1,1,12.94
Municipal,Municipality,Community Center and Social Meeting Hall,Community Center and Social Meeting Hall,492.0,1,124.4,,0.0,0.0,0,1,1.24
Municipal,Municipality,Other - Stadium,Stadium (Closed),3101.3,1,818.3,2157.9,0.0,0.0,1,1,116.63
Municipal,Municipality,Stadium (Closed),Stadium (Closed),2726.8,1,2.6,3737.1,0.0,0.0,1,1,187.84
Municipal,Municipality,Office,Office,14485.2,1,6927.8,242.8,0.0,7066.400000000001,1,1,634.58
Municipal,Municipality,Community Center and Social Meeting Hall,Ice/Curling Rink,13192.2,1,9569.6,10817.3,0.0,0.0,1,1,639.32
Municipal,Municipality,Community Center and Social Meeting Hall,Ice/Curling Rink,15620.6,1,11737.2,7088.1,0.0,0.0,1,1,473.59
