Year,Sector,Subsector,Organization,Property Name,Primary Property Type - Self Selected,Portfolio Manager Property ID,Portfolio Manager Parent Property ID,Parent Property Name,Year Ending,Address,City,Postal Code,Property GFA - Self-Reported (m²),Number of Buildings,Custom Property ID 1 - Name,Custom Property ID 1 - Value,Custom Property ID 2 - Name,Custom Property ID 2 - Value,Custom Property ID 3 - Name,Custom Property ID 3 - Value,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (GJ),Natural Gas Use (therms),Natural Gas Use (GJ),Fuel Oil #1 Use (GJ),Fuel Oil #2 Use (GJ),Fuel Oil #4 Use (GJ),Fuel Oil #5 & 6 Use (GJ),Diesel Use (GJ),Kerosene Use (GJ),Propane Use (GJ),District Steam Use (GJ),District Hot Water Use (GJ),District Chilled Water Use (GJ),Wood Use (GJ),Site Energy Use (GJ),Source Energy Use (GJ),Site EUI (GJ/m²),Site EUI (ekWh/sqft),Source EUI (GJ/m²),Source EUI (ekWh/sqft),Weather Normalized Site Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Weather Normalized Site EUI (GJ/m²),Weather Normalized Site EUI (ekWh/sqft),Weather Normalized Source EUI (GJ/m²),Weather Normalized Source EUI (ekWh/sqft),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Total (Location-Based) GHG Emissions Intensity (kgCO2e/m²),Drinking Water Treatment & Distribution - Average Flow (m³PD),Wastewater Treatment Plant - Average Influent Flow (m³PD),Address 2,List of All Property Use Types (GFA) (m²),Largest Property Use Type,Report Submission Date,Data Quality Checker Run?,Data Quality Checker - Date Run,Other_Fuels_GJ,District_Energy_GJ,Has_NaturalGas,Has_Electricity
2024,Post-Secondary,University,Carleton University,Carleton University,College/University,24320073,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,1125 Colonel By Drive,Ottawa,K1S 5B6,497730.9,1,Organization,Carleton University,SubSector,University,Weekly Average Hours,140.0,51303009.5,184683.2,5063877.2,534267.4,,,,,,,,,,,,718950.6,904293.7,1.44,37.16129032258064,1.82,46.96774193548387,,,,,,,28696.68,57.66,,,,College/University (497730.9),College/University,2025-06-26 12:24:11,No,,0.0,0.0,1,1
2024,Post-Secondary,University,Guelph University,Guelph University,College/University,24325408,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,50 Stone Road East,Guelph,N1G 2W1,626546.0,1,Organization,Guelph University,SubSector,University,Weekly Average Hours,70.0,97459784.7,350840.7,7191350.1,758727.7,,,,,,,,,,,,1109568.4,1446289.9,1.77,45.67741935483871,2.31,59.612903225806456,1199392.1,1540175.2,1.91,49.29032258064516,2.46,63.483870967741936,41638.64,66.46,,,,College/University (626546.0),College/University,2025-06-24 16:18:31,No,,0.0,0.0,1,1
2024,Public Hospital,Acute/Chronic,London Health Sciences Centre,Victoria Hospital,Hospital (General Medical & Surgical),24326356,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,800 Commissioners Rd. E.,London,N6A 5W9,202092.0,1,Organization,London Health Sciences Centre,SubSector,Acute/Chronic Hospital,Weekly Average Hours,168.0,19879796.3,71564.3,7698886.9,812275.7,,5985.1,,,,,,,,,,889825.1,997960.0,4.21,108.64516129032258,4.72,121.80645161290322,,,,,,,41962.88,198.37,,,,Hospital (General Medical & Surgical) (211537.3),Hospital (General Medical & Surgical),2025-04-03 14:35:10,No,,5985.1,0.0,1,1
2024,Post-Secondary,University,McMaster University,"McMaster University, Main Campus",College/University,24326406,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,1280 Main Street West,Hamilton,L8S 4M3,524249.0,56,Organization,McMaster University,SubSector,University,Weekly Average Hours,70.0,58595205.5,210934.0,8426143.5,889005.3,,,,,,,,,,,,1099939.3,1328354.9,2.1,54.193548387096776,2.53,65.29032258064515,,,,,,,46786.67,89.25,,,,College/University (524249.5),College/University,2025-06-09 12:24:13,No,,0.0,0.0,1,1
2024,Post-Secondary,University,Queen's University,Campus Total,College/University,24328360,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,207 Stuart Street,Kingston,K7L 3N6,757279.0,1,Organization,Queen's University,SubSector,University,Weekly Average Hours,60.0,104502128.5,376192.1,5486449.8,578851.2,,336.8,0.0,,,,681.9,,,,261,956322.9,1303293.5,1.26,32.516129032258064,1.72,44.38709677419354,,,,,,,32943.17,43.5,,,,College/University (757279.0),College/University,2025-06-25 11:44:26,Yes,2025-06-24,1279.6999999999998,0.0,1,1
2024,Post-Secondary,College,Algonquin College,H Building - Philip Killeen Hospitality Centre,College/University,25046778,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,1385 Woodroffe Avenue,Ottawa,K2G 1V8,6519.5,1,Organization,Algonquin College,SubSector,College,Weekly Average Hours,75,1202068.1,4327.3,18304.4,1931.2,,,,,,,,,4625.6,10531050442.5,,10531061326.6,6002714870.3,1615322.59,41685744.25806452,920735.63,23760919.48387097,10008650313.0,5704941400.5,1535192.14,39617861.67741935,875061.2,22582224.51612903,737234797.05,113081873.67,,,,"Restaurant (1233.7), College/University (5285.8)",College/University,2025-06-20 15:04:16,No,,0.0,10531055068.1,1,1
2024,Post-Secondary,University,University of Toronto,University of Toronto St George Campus,College/University,25323435,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,27 King's College Circle,Toronto,M5S 1A1,1426566.0,1,Organization,University of Toronto,SubSector,University,Weekly Average Hours,75,219666291.9,790765.9,13874269.8,1463813.2,,0.0,,,,,,50521.7,,,,2305100.8,3065937.5,1.62,41.80645161290323,2.15,55.483870967741936,,,,,,,85712.14,60.08,,,,College/University (1426566.0),College/University,2025-06-26 15:13:07,No,,0.0,50521.7,1,1
2024,Post-Secondary,University,University of Waterloo,Waterloo Campus,College/University,24370668,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,200 University Ave W,Waterloo,N2L 3G1,779485.7,1,Organization,University of Waterloo,SubSector,University,Weekly Average Hours,80.0,126801193.4,456465.4,5712469.4,602697.5,,145.0,0.0,,,,,,,,,1059307.9,1474336.1,1.36,35.09677419354839,1.89,48.774193548387096,,,,,,,34863.91,44.73,,,,College/University (779485.7),College/University,2025-06-23 16:05:59,No,,145.0,0.0,1,1
2024,Post-Secondary,University,University of Western Ontario,Core Campus,College/University,24627264,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,1151 Richmond St,London,N6A 3K7,506517.9,1,Organization,University of Western Ontario,SubSector,University,Weekly Average Hours,168.0,98792378.4,355637.8,5974964.6,630392.2,,879.6,,,,,,,,,,987462.7,1320465.7,1.87,48.25806451612903,2.49,64.25806451612904,,,,,,,35299.7,66.68,,,,Laboratory (529366.8),Laboratory,2025-06-25 16:05:04,No,,879.6,0.0,1,1
2024,Public Hospital,Acute/Chronic,Toronto Sunnybrook health Sciences Centre,SB - Bayview Campus,Hospital (General Medical & Surgical),28001986,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2024-12-31,2075 Bayview Ave,Toronto,M4N 3M5,253434.4,17,Organization,Sunnybrook Health Sciences Centre,SubSector,Acute/Chronic Hospital,Roll Number,19-08-08-1-980-00300-0000-0 4,17536915.2,63130.3,8488005.2,895532.1,,,,,,,,,,,,958662.4,1064792.4,3.78,97.5483870967742,4.2,108.38709677419357,958662.4,1064792.4,3.78,97.5483870967742,4.2,108.38709677419357,45636.57,180.07,,,,Hospital (General Medical & Surgical) (253434.4),Hospital (General Medical & Surgical),2025-06-22 13:43:33,Yes,2025-06-22,0.0,0.0,1,1
